support,itemsets
0.012009237875288684,"frozenset({558, 567})"
0.02725173210161663,"frozenset({573, 558})"
0.05415704387990762,"frozenset({926, 558})"
0.014665127020785219,"frozenset({560, 926})"
0.02020785219399538,"frozenset({573, 567})"
0.06339491916859122,"frozenset({926, 567})"
0.0325635103926097,"frozenset({569, 575})"
0.0802540415704388,"frozenset({569, 926})"
0.011778290993071594,"frozenset({569, 209599})"
0.027136258660508082,"frozenset({569, 209603})"
0.010739030023094688,"frozenset({572, 573})"
0.06812933025404157,"frozenset({573, 574})"
0.012933025404157044,"frozenset({648, 573})"
0.013856812933025405,"frozenset({650, 573})"
0.018244803695150115,"frozenset({573, 767})"
0.04676674364896074,"frozenset({573, 926})"
0.01581986143187067,"frozenset({573, 927})"
0.0197459584295612,"frozenset({968, 573})"
0.01812933025404157,"frozenset({969, 573})"
0.01535796766743649,"frozenset({926, 574})"
0.0348729792147806,"frozenset({926, 575})"
0.056466512702078524,"frozenset({648, 650})"
0.017551963048498844,"frozenset({648, 926})"
0.012817551963048499,"frozenset({650, 651})"
0.026905311778290992,"frozenset({650, 926})"
0.018591224018475752,"frozenset({209545, 650})"
0.013048498845265589,"frozenset({651, 926})"
0.010854503464203233,"frozenset({748, 791})"
0.013048498845265589,"frozenset({926, 767})"
0.014318706697459584,"frozenset({789, 775})"
0.019630484988452657,"frozenset({776, 790})"
0.015473441108545035,"frozenset({891, 893})"
0.01651270207852194,"frozenset({968, 926})"
0.01535796766743649,"frozenset({969, 926})"
0.025750577367205544,"frozenset({926, 47615})"
0.026905311778290992,"frozenset({209545, 926})"
0.15034642032332562,"frozenset({926, 209599})"
0.0279445727482679,"frozenset({209603, 926})"
0.0464203233256351,"frozenset({968, 969})"
0.017090069284064664,"frozenset({968, 969, 573})"
0.014203233256351038,"frozenset({968, 969, 926})"
